id_binary,id_type,customer_binary,customer_type,user_binary,user_type,item_binary,item_type,type_name,type_value,url,url_raw,is_referral,create_date,ip,is_processed_ip,last_click_date,device_family,device_is_spider,os_family,browser_family,browser_major,browser_minor,browser_patch,is_direct,referrer,date,weekday,hour
NP4C8ceYD0Szo/2QAcM8eA==,03,Fr9oWfIRPk6Tn0F12240tw==,03,L4dRLO6IAkyl9iPwV/YxDw==,03,WhAjnkNAx0+DZR6/jloagA==,03,View,2,https://www.vagas.com.br/vagas-de-cobrador-de-coletivo?,https://www.vagas.com.br/vagas-de-cobrador-de-coletivo?,False,2019-02-10T00:00:00.000Z,179.162.175.155,False,2019-02-03T15:52:48.000Z,Other,False,Windows,Chrome,71,0,3578,False,,2019-02-10,1,22
MTpVc1ZJ/0e0kHU5i3h2CQ==,03,MWY5bBVHEEOWUfnTwFnnHQ==,03,l5SDMXYSXEmIK8dJyO2dDA==,03,4gAQA4NEsUemQ+m47nbkOw==,03,View,2,https://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=z270&btng=,https://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=z270&btnG=,False,2019-02-10T00:00:00.000Z,200.170.155.243,False,2019-01-22T00:54:56.000Z,Other,False,Windows,Chrome,72,0,3626,False,,2019-02-10,1,22
ZeCX+H33lk2agTku7IFU2A==,03,giY70S63zEKSA+4fCiC2jQ==,03,s3guvGB4d0igkNpkNddnUg==,03,+oPCU18Cs0GvWzCR/bGXpw==,03,View,2,https://m.rede.natura.net/busca/u/ntt-hidratante%20biografia,https://m.rede.natura.net/busca/u/Ntt-Hidratante%20biografia,False,2019-02-10T00:00:00.000Z,2804:14d:5c73:8281:49e8:725d:80ed:426e,False,2018-11-15T01:11:23.000Z,Samsung SM-J500M,False,Android,Chrome Mobile,72,0,3626,False,,2019-02-10,1,22
psrM0+2t/USVJ9U/LBKOGw==,03,MWY5bBVHEEOWUfnTwFnnHQ==,03,Y96xl+LAjEeCHS2Az7tVrw==,03,4gAQA4NEsUemQ+m47nbkOw==,03,View,2,https://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=z390&btng=,https://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=z390&btnG=,False,2019-02-10T00:00:00.000Z,191.163.58.125,False,2019-02-09T05:54:00.000Z,Other,False,Windows,Chrome,72,0,3626,False,,2019-02-10,1,22
cGuAMV1tLE+e/skvnCyKsg==,03,giY70S63zEKSA+4fCiC2jQ==,03,68VxdtKCZkWGR1o3KUwBCw==,03,UOrfuE60jk6AU2rLKtHNFQ==,03,View,2,https://www.natura.com.br/acesso-consultor,https://www.natura.com.br/acesso-consultor,False,2019-02-10T00:00:00.000Z,,False,2018-03-04T18:35:48.038Z,Other,False,Windows,Chrome,68,0,3440,False,https://www.google.com.br/,2019-02-10,1,22
9aSVkETjFEm9ZlYre0/ExQ==,03,MWY5bBVHEEOWUfnTwFnnHQ==,03,LYyiqr0OdEyg+vMnNSUg+Q==,03,s3LetoGdo0SR/1SQ0q62VA==,03,View,2,https://www.kabum.com.br/cgi-local/site/minha_conta/minha_conta.cgi?link=08,https://www.kabum.com.br/cgi-local/site/minha_conta/minha_conta.cgi?link=08,False,2019-02-10T00:00:00.000Z,177.137.231.120,False,2019-02-09T15:53:50.000Z,Other,False,Windows,Chrome,71,0,3578,False,,2019-02-10,1,22
3eQXbgxq9ES7CwpV5Sl9hA==,03,MWY5bBVHEEOWUfnTwFnnHQ==,03,z+3/YkupyU2fUtSp5ykpzg==,03,yKnjA1ZDUk6Wj31Tw08tFg==,03,View,2,https://www.kabum.com.br/hardware/ssd-2-5,https://www.kabum.com.br/hardware/ssd-2-5,False,2019-02-10T00:00:00.000Z,138.99.207.241,False,2017-12-24T22:24:03.623Z,Other,False,Windows,Chrome,71,0,3578,False,,2019-02-10,1,22
UP9sinCE8EeBXWdtUMmSoQ==,03,r/mIF223BE6nHHwbe6928g==,03,yOZL7d224kiAnmw1SwNHAQ==,03,JP3Jb/rEAk+iyAxSViHIGA==,03,View,2,"https://busca.marabraz.com.br/busca?q=caantes,+digite+aqui+o+que+procura...","https://busca.marabraz.com.br/busca?q=caAntes,+digite+aqui+o+que+procura...",False,2019-02-10T00:00:00.000Z,,False,2019-01-31T09:55:45.000Z,Samsung SM-J120H,False,Android,Chrome Mobile,72,0,3626,False,,2019-02-10,1,22
ZQNYgbnNR0CvsYTyFN9enA==,03,VBx8f+FnZUqmVAadfMLbjg==,03,vHiXivHt7UusoqF0WO1OcQ==,03,SBRmg+lm7kyo0qmlmw2MzQ==,03,View,2,https://www.dinda.com.br/campanhas/crocs-kids?utm_campaign=crocs_2018_crocs_lal_2%25_mobile_collection&utm_medium=cpc&utm_source=facebook&utm_term=qua_crocs_kids_fevereiro&utm_id=at1%2118549197,https://www.dinda.com.br/campanhas/crocs-kids?utm_campaign=Crocs_2018_Crocs_LaL_2%25_Mobile_Collection&utm_medium=cpc&utm_source=facebook&utm_term=QUA_Crocs_Kids_Fevereiro&utm_id=at1%2118549197,True,2019-02-10T00:00:00.000Z,138.0.103.186,False,2019-02-10T00:00:00.000Z,5051J,False,Android,Chrome Mobile,70,0,3538,False,http://m.facebook.com/,2019-02-10,1,22
